,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
236,Milbertshofen-Am Hart,48.18525,11.57318,Entire home/apt,290.0,1,0,1,365,0,High price,Long term,Private host
237,Ludwigsvorstadt-Isarvorstadt,48.13352,11.57866,Entire home/apt,120.0,2,36,2,98,0,Middle price,Medium term,Commercial host
238,Schwanthalerhöhe,48.1356,11.54227,Entire home/apt,166.0,3,24,1,0,0,Middle price,Short term,Private host
239,Schwabing-Freimann,48.19002,11.61537,Private room,66.0,2,3,4,187,1,Low price,Long term,Commercial host
240,Schwabing-Freimann,48.19086,11.61572,Private room,60.0,2,6,4,45,0,Low price,Short term,Commercial host
241,Schwabing-Freimann,48.1892,11.61643,Private room,66.0,2,13,4,189,0,Low price,Long term,Commercial host
242,Schwabing-Freimann,48.15418,11.58815,Entire home/apt,73.0,7,5,1,288,3,Low price,Long term,Private host
243,Untergiesing-Harlaching,48.10626,11.57412,Entire home/apt,80.0,30,0,1,88,0,Middle price,Short term,Private host
244,Schwabing-West,48.16276,11.57783,Entire home/apt,100.0,3,2,1,18,0,Middle price,Short term,Private host
245,Neuhausen-Nymphenburg,48.15998,11.52576,Entire home/apt,43.0,30,35,1,184,0,Low price,Long term,Private host
246,Pasing-Obermenzing,48.14342,11.44839,Private room,127.0,1,0,1,365,0,Middle price,Long term,Private host
247,Milbertshofen-Am Hart,48.18479,11.56438,Private room,49.0,1,366,1,349,17,Low price,Long term,Private host
248,Moosach,48.17191,11.53398,Private room,79.0,1,5,1,363,0,Low price,Long term,Private host
249,Bogenhausen,48.15024,11.63468,Private room,57.0,2,34,1,63,3,Low price,Short term,Private host
250,Sendling,48.11606,11.55044,Private room,45.0,120,8,1,96,0,Low price,Medium term,Private host
251,Untergiesing-Harlaching,48.10674,11.57142,Entire home/apt,119.0,3,37,1,365,6,Middle price,Long term,Private host
252,Maxvorstadt,48.15344,11.5759,Private room,85.0,1,0,1,364,0,Middle price,Long term,Private host
253,Ludwigsvorstadt-Isarvorstadt,48.13204,11.57856,Entire home/apt,134.0,90,2,4,365,0,Middle price,Long term,Commercial host
254,Schwabing-West,48.16028,11.56228,Entire home/apt,75.0,2,10,1,0,1,Low price,Short term,Private host
255,Untergiesing-Harlaching,48.10398,11.57862,Entire home/apt,65.0,2,194,2,112,15,Low price,Medium term,Commercial host
256,Altstadt-Lehel,48.14206,11.58371,Entire home/apt,50.0,20,6,1,0,0,Low price,Short term,Private host
257,Maxvorstadt,48.15218,11.56748,Private room,79.0,1,4,2,365,0,Low price,Long term,Commercial host
258,Schwanthalerhöhe,48.13234,11.54078,Entire home/apt,73.0,4,26,1,325,1,Low price,Long term,Private host
259,Schwabing-Freimann,48.16708,11.5905,Private room,86.0,2,26,1,362,2,Middle price,Long term,Private host
260,Feldmoching-Hasenbergl,48.21806,11.54237,Private room,69.0,1,2,4,365,0,Low price,Long term,Commercial host
261,Ramersdorf-Perlach,48.08762,11.67513,Entire home/apt,135.0,3,97,4,172,0,Middle price,Medium term,Commercial host
262,Au-Haidhausen,48.12904,11.60023,Private room,50.0,2,28,1,58,9,Low price,Short term,Private host
263,Schwabing-West,48.16094,11.57937,Entire home/apt,76.0,1,4,1,0,0,Low price,Short term,Private host
264,Obergiesing,48.09015,11.60748,Private room,80.0,1,0,1,365,0,Middle price,Long term,Private host
265,Schwabing-Freimann,48.16173,11.58761,Private room,49.0,7,20,2,0,1,Low price,Short term,Commercial host
266,Berg am Laim,48.1287,11.65576,Private room,75.0,1,39,1,355,0,Low price,Long term,Private host
267,Tudering-Riem,48.11646,11.68853,Private room,110.0,3,25,1,231,0,Middle price,Long term,Private host
268,Sendling,48.11951,11.54167,Entire home/apt,149.0,2,23,1,0,0,Middle price,Short term,Private host
269,Maxvorstadt,48.15469,11.56922,Entire home/apt,150.0,3,6,1,251,0,Middle price,Long term,Private host
270,Untergiesing-Harlaching,48.11518,11.56849,Entire home/apt,89.0,1,34,1,332,7,Middle price,Long term,Private host
271,Maxvorstadt,48.14408,11.57253,Entire home/apt,165.0,4,10,2,358,1,Middle price,Long term,Commercial host
272,Ludwigsvorstadt-Isarvorstadt,48.13133,11.57371,Private room,66.0,1,65,1,76,10,Low price,Short term,Private host
273,Ludwigsvorstadt-Isarvorstadt,48.13575,11.55702,Private room,109.0,1,36,3,362,0,Middle price,Long term,Commercial host
274,Neuhausen-Nymphenburg,48.16562,11.53185,Private room,64.0,2,27,1,363,0,Low price,Long term,Private host
275,Altstadt-Lehel,48.13417,11.58034,Entire home/apt,92.0,3,15,1,0,0,Middle price,Short term,Private host
276,Schwanthalerhöhe,48.1384,11.53022,Private room,95.0,1,6,1,357,0,Middle price,Long term,Private host
277,Ludwigsvorstadt-Isarvorstadt,48.1252,11.56486,Entire home/apt,106.0,2,33,1,0,0,Middle price,Short term,Private host
278,Ramersdorf-Perlach,48.10064,11.64081,Shared room,53.0,1,25,1,365,2,Low price,Long term,Private host
279,Neuhausen-Nymphenburg,48.15773,11.54285,Shared room,115.0,4,2,6,365,0,Middle price,Long term,Commercial host
280,Schwanthalerhöhe,48.13266,11.53624,Private room,37.0,4,99,1,172,0,Low price,Medium term,Private host
281,Schwabing-Freimann,48.20468,11.59673,Private room,80.0,2,8,2,365,0,Middle price,Long term,Commercial host
282,Schwanthalerhöhe,48.13353,11.5458,Private room,145.0,2,30,3,364,0,Middle price,Long term,Commercial host
283,Sendling-Westpark,48.1261,11.53603,Entire home/apt,399.0,2,0,3,237,0,High price,Long term,Commercial host
284,Milbertshofen-Am Hart,48.18378,11.56688,Private room,35.0,3,8,1,0,0,Low price,Short term,Private host
285,Schwabing-Freimann,48.17559,11.58304,Entire home/apt,120.0,7,0,4,365,0,Middle price,Long term,Commercial host
286,Schwabing-Freimann,48.17183,11.60026,Entire home/apt,142.0,2,5,1,346,0,Middle price,Long term,Private host
287,Ludwigsvorstadt-Isarvorstadt,48.13039,11.56959,Private room,80.0,1,28,1,358,0,Middle price,Long term,Private host
288,Maxvorstadt,48.15348,11.58243,Entire home/apt,135.0,2,65,1,310,0,Middle price,Long term,Private host
289,Laim,48.13404,11.5102,Entire home/apt,35.0,14,4,1,23,1,Low price,Short term,Private host
290,Schwabing-Freimann,48.20489,11.59621,Private room,60.0,1,30,2,180,2,Low price,Medium term,Commercial host
291,Laim,48.13686,11.51685,Entire home/apt,50.0,7,1,1,0,1,Low price,Short term,Private host
292,Maxvorstadt,48.14333,11.55844,Entire home/apt,128.0,1,615,11,161,59,Middle price,Medium term,Commercial host
293,Feldmoching-Hasenbergl,48.19744,11.52444,Entire home/apt,70.0,3,17,1,0,1,Low price,Short term,Private host
294,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.1015,11.54162,Entire home/apt,100.0,5,7,1,0,0,Middle price,Short term,Private host
295,Pasing-Obermenzing,48.16317,11.44233,Private room,48.0,2,19,2,0,0,Low price,Short term,Commercial host
296,Milbertshofen-Am Hart,48.20263,11.57577,Private room,50.0,2,160,2,350,0,Low price,Long term,Commercial host
297,Schwabing-Freimann,48.16936,11.58419,Entire home/apt,150.0,3,25,1,53,0,Middle price,Short term,Private host
298,Untergiesing-Harlaching,48.11523,11.56705,Entire home/apt,55.0,180,33,1,268,1,Low price,Long term,Private host
299,Ludwigsvorstadt-Isarvorstadt,48.12265,11.55991,Entire home/apt,80.0,5,19,1,0,1,Middle price,Short term,Private host
300,Au-Haidhausen,48.12076,11.57696,Entire home/apt,90.0,3,15,2,0,0,Middle price,Short term,Commercial host
301,Schwanthalerhöhe,48.13482,11.53962,Entire home/apt,289.0,1,3,6,52,2,High price,Short term,Commercial host
302,Bogenhausen,48.15792,11.63527,Private room,35.0,2,35,2,20,0,Low price,Short term,Commercial host
303,Au-Haidhausen,48.12592,11.58785,Entire home/apt,140.0,2,36,1,334,10,Middle price,Long term,Private host
304,Au-Haidhausen,48.13089,11.59676,Private room,59.0,1,43,2,89,0,Low price,Short term,Commercial host
305,Ramersdorf-Perlach,48.12072,11.60151,Private room,49.0,3,122,1,77,3,Low price,Short term,Private host
306,Bogenhausen,48.16386,11.6488,Entire home/apt,139.0,3,209,1,87,17,Middle price,Short term,Private host
307,Neuhausen-Nymphenburg,48.14667,11.53529,Private room,35.0,25,24,1,48,0,Low price,Short term,Private host
308,Hadern,48.11823,11.47098,Private room,39.0,4,159,1,334,16,Low price,Long term,Private host
309,Au-Haidhausen,48.12568,11.59842,Entire home/apt,610.0,1,0,1,365,0,High price,Long term,Private host
310,Obergiesing,48.11439,11.59433,Entire home/apt,120.0,3,17,2,0,0,Middle price,Short term,Commercial host
311,Obergiesing,48.11272,11.58286,Entire home/apt,260.0,4,16,1,51,0,High price,Short term,Private host
312,Milbertshofen-Am Hart,48.17809,11.58018,Entire home/apt,60.0,60,10,1,266,3,Low price,Long term,Private host
313,Moosach,48.17211,11.49405,Entire home/apt,79.0,5,9,1,330,0,Low price,Long term,Private host
314,Ludwigsvorstadt-Isarvorstadt,48.13287,11.58074,Entire home/apt,70.0,1,91,1,63,20,Low price,Short term,Private host
315,Neuhausen-Nymphenburg,48.15688,11.5394,Entire home/apt,85.0,2,67,1,0,0,Middle price,Short term,Private host
316,Schwabing-West,48.16191,11.5743,Entire home/apt,108.0,3,62,1,76,4,Middle price,Short term,Private host
317,Maxvorstadt,48.14416,11.55974,Entire home/apt,46.0,82,496,1,8,17,Low price,Short term,Private host
318,Maxvorstadt,48.15183,11.57603,Private room,50.0,3,118,1,87,10,Low price,Short term,Private host
319,Feldmoching-Hasenbergl,48.20053,11.55125,Entire home/apt,88.0,1,3,1,364,2,Middle price,Long term,Private host
320,Au-Haidhausen,48.13013,11.59917,Entire home/apt,135.0,1,346,1,315,26,Middle price,Long term,Private host
321,Sendling-Westpark,48.11188,11.5078,Private room,33.0,1,4,1,364,4,Low price,Long term,Private host
322,Bogenhausen,48.15227,11.62811,Entire home/apt,85.0,99,21,1,173,0,Middle price,Medium term,Private host
323,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09794,11.53945,Entire home/apt,120.0,2,16,1,179,8,Middle price,Medium term,Private host
324,Schwabing-West,48.15989,11.5754,Entire home/apt,200.0,3,62,1,89,0,High price,Short term,Private host
325,Tudering-Riem,48.11541,11.70624,Entire home/apt,42.0,21,14,1,83,0,Low price,Short term,Private host
326,Maxvorstadt,48.15612,11.56441,Entire home/apt,68.0,7,20,1,0,0,Low price,Short term,Private host
327,Schwabing-Freimann,48.17276,11.59031,Private room,44.0,2,289,1,216,17,Low price,Long term,Private host
328,Schwabing-Freimann,48.15655,11.58129,Entire home/apt,250.0,90,3,1,362,0,High price,Long term,Private host
329,Neuhausen-Nymphenburg,48.16673,11.53576,Entire home/apt,181.0,2,328,2,268,3,Middle price,Long term,Commercial host
330,Maxvorstadt,48.15331,11.56629,Entire home/apt,180.0,3,35,1,364,0,Middle price,Long term,Private host
331,Maxvorstadt,48.14783,11.56503,Private room,60.0,2,62,2,362,0,Low price,Long term,Commercial host
332,Altstadt-Lehel,48.13649,11.58642,Entire home/apt,200.0,2,2,1,87,0,High price,Short term,Private host
333,Au-Haidhausen,48.12283,11.58045,Entire home/apt,150.0,2,86,1,0,8,Middle price,Short term,Private host
334,Sendling-Westpark,48.113628,11.53343,Entire home/apt,55.0,14,24,1,233,4,Low price,Long term,Private host
335,Schwanthalerhöhe,48.13034,11.5441,Entire home/apt,350.0,5,0,1,87,0,High price,Short term,Private host
336,Laim,48.13909,11.51071,Private room,35.0,7,0,1,218,0,Low price,Long term,Private host
337,Bogenhausen,48.15841,11.65024,Private room,30.0,1,0,4,0,0,Low price,Short term,Commercial host
338,Laim,48.13673,11.51773,Entire home/apt,49.0,5,28,1,0,0,Low price,Short term,Private host
339,Maxvorstadt,48.15194,11.55606,Entire home/apt,90.0,2,50,1,0,6,Middle price,Short term,Private host
340,Ludwigsvorstadt-Isarvorstadt,48.13051,11.57727,Entire home/apt,87.0,7,17,1,14,1,Middle price,Short term,Private host
341,Moosach,48.17559,11.50596,Private room,34.0,3,158,1,61,8,Low price,Short term,Private host
342,Moosach,48.17871,11.49177,Entire home/apt,150.0,3,87,1,26,1,Middle price,Short term,Private host
343,Neuhausen-Nymphenburg,48.16673,11.53576,Entire home/apt,206.0,2,27,2,268,1,High price,Long term,Commercial host
344,Berg am Laim,48.12808,11.61769,Entire home/apt,49.0,180,21,2,341,0,Low price,Long term,Commercial host
345,Schwabing-West,48.16219,11.56319,Entire home/apt,185.0,4,34,2,9,3,Middle price,Short term,Commercial host
346,Schwabing-West,48.1587,11.56798,Entire home/apt,199.0,2,13,1,336,6,Middle price,Long term,Private host
347,Ludwigsvorstadt-Isarvorstadt,48.12759,11.56183,Private room,70.0,2,39,1,84,0,Low price,Short term,Private host
348,Untergiesing-Harlaching,48.1143,11.56853,Private room,57.0,5,22,2,234,2,Low price,Long term,Commercial host
349,Sendling,48.11913,11.54861,Private room,52.0,2,20,1,204,0,Low price,Long term,Private host
350,Pasing-Obermenzing,48.1451,11.46088,Private room,40.0,2,12,1,338,3,Low price,Long term,Private host
351,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09644,11.54078,Entire home/apt,150.0,2,34,2,55,3,Middle price,Short term,Commercial host
352,Schwabing-West,48.16645,11.57799,Private room,45.0,1,50,1,326,0,Low price,Long term,Private host
353,Schwanthalerhöhe,48.13298,11.53876,Entire home/apt,72.0,7,4,1,0,2,Low price,Short term,Private host
354,Maxvorstadt,48.1569,11.56361,Private room,46.0,2,258,1,313,30,Low price,Long term,Private host
355,Ramersdorf-Perlach,48.10289,11.61862,Private room,31.0,3,91,3,89,14,Low price,Short term,Commercial host
356,Milbertshofen-Am Hart,48.18206,11.57197,Private room,36.0,1,479,1,141,25,Low price,Medium term,Private host
357,Maxvorstadt,48.14909,11.57468,Entire home/apt,50.0,365,0,1,357,0,Low price,Long term,Private host
358,Ludwigsvorstadt-Isarvorstadt,48.12765,11.57176,Entire home/apt,76.0,5,105,1,14,8,Low price,Short term,Private host
359,Ludwigsvorstadt-Isarvorstadt,48.1384,11.56355,Private room,81.0,2,293,2,0,2,Middle price,Short term,Commercial host
360,Au-Haidhausen,48.12692,11.59489,Private room,60.0,4,61,1,187,0,Low price,Long term,Private host
361,Sendling,48.11282,11.55173,Entire home/apt,83.0,3,73,1,12,6,Middle price,Short term,Private host
362,Laim,48.13752,11.5015,Private room,45.0,7,9,1,0,0,Low price,Short term,Private host
363,Ludwigsvorstadt-Isarvorstadt,48.12231,11.56618,Entire home/apt,145.0,2,105,1,0,0,Middle price,Short term,Private host
364,Milbertshofen-Am Hart,48.1773,11.56783,Entire home/apt,35.0,60,4,2,150,1,Low price,Medium term,Commercial host
365,Schwabing-West,48.16205,11.567,Entire home/apt,105.0,7,1,1,0,0,Middle price,Short term,Private host
366,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09618,11.54285,Entire home/apt,120.0,2,54,2,261,8,Middle price,Long term,Commercial host
367,Schwabing-West,48.16415,11.57019,Private room,62.0,2,116,1,326,0,Low price,Long term,Private host
368,Schwabing-West,48.16385,11.57062,Entire home/apt,89.0,2,89,1,246,7,Middle price,Long term,Private host
369,Berg am Laim,48.12901,11.61989,Private room,37.0,3,36,1,267,4,Low price,Long term,Private host
370,Schwanthalerhöhe,48.13087,11.53895,Entire home/apt,99.0,3,126,1,258,4,Middle price,Long term,Private host
371,Maxvorstadt,48.14832,11.56186,Private room,135.0,1,25,1,364,0,Middle price,Long term,Private host
372,Schwabing-Freimann,48.18007,11.5895,Private room,25.0,14,24,1,103,3,Low price,Medium term,Private host
373,Sendling-Westpark,48.11655,11.52557,Entire home/apt,40.0,90,1,1,268,0,Low price,Long term,Private host
374,Obergiesing,48.11945,11.58112,Entire home/apt,400.0,2,2,2,364,0,High price,Long term,Commercial host
375,Schwabing-Freimann,48.15756,11.58525,Entire home/apt,300.0,1,2,1,365,0,High price,Long term,Private host
376,Ludwigsvorstadt-Isarvorstadt,48.11984,11.56098,Entire home/apt,75.0,14,6,1,22,0,Low price,Short term,Private host
377,Tudering-Riem,48.11646,11.65692,Entire home/apt,40.0,2,176,2,297,19,Low price,Long term,Commercial host
378,Neuhausen-Nymphenburg,48.1566,11.53261,Private room,70.0,2,39,1,353,2,Low price,Long term,Private host
379,Laim,48.13099,11.51436,Private room,100.0,1,0,1,87,0,Middle price,Short term,Private host
380,Au-Haidhausen,48.12902,11.58468,Entire home/apt,95.0,2,16,1,27,0,Middle price,Short term,Private host
381,Au-Haidhausen,48.13076,11.60404,Entire home/apt,89.0,2,348,1,333,17,Middle price,Long term,Private host
382,Au-Haidhausen,48.1268,11.60236,Private room,67.0,1,244,1,0,0,Low price,Short term,Private host
383,Au-Haidhausen,48.13424,11.59381,Entire home/apt,399.0,2,5,1,365,0,High price,Long term,Private host
384,Ludwigsvorstadt-Isarvorstadt,48.13476,11.56287,Private room,140.0,1,20,1,81,0,Middle price,Short term,Private host
385,Ludwigsvorstadt-Isarvorstadt,48.12241,11.56387,Private room,53.0,1,23,1,0,0,Low price,Short term,Private host
386,Obergiesing,48.08864,11.60896,Private room,44.0,1,46,3,361,5,Low price,Long term,Commercial host
387,Schwanthalerhöhe,48.13798,11.54275,Private room,245.0,2,4,1,270,0,High price,Long term,Private host
388,Neuhausen-Nymphenburg,48.15615,11.50881,Private room,80.0,1,14,2,365,0,Middle price,Long term,Commercial host
389,Au-Haidhausen,48.13176,11.59845,Entire home/apt,120.0,2,4,1,0,3,Middle price,Short term,Private host
390,Neuhausen-Nymphenburg,48.15451,11.50919,Private room,39.0,2,252,1,146,17,Low price,Medium term,Private host
391,Schwabing-West,48.16009,11.56197,Entire home/apt,63.0,2,9,1,69,0,Low price,Short term,Private host
392,Sendling,48.10639,11.54345,Entire home/apt,87.0,30,66,1,112,1,Middle price,Medium term,Private host
393,Milbertshofen-Am Hart,48.18412,11.55111,Private room,45.0,2,37,1,8,0,Low price,Short term,Private host
394,Neuhausen-Nymphenburg,48.15262,11.50971,Private room,37.0,1,38,2,341,8,Low price,Long term,Commercial host
395,Neuhausen-Nymphenburg,48.1521,11.50984,Private room,37.0,1,60,2,354,2,Low price,Long term,Commercial host
396,Ludwigsvorstadt-Isarvorstadt,48.12693,11.56146,Entire home/apt,130.0,2,13,1,0,0,Middle price,Short term,Private host
397,Ludwigsvorstadt-Isarvorstadt,48.13041,11.58089,Entire home/apt,72.0,3,14,1,22,1,Low price,Short term,Private host
398,Schwanthalerhöhe,48.13697,11.5375,Entire home/apt,135.0,2,34,1,89,5,Middle price,Short term,Private host
399,Neuhausen-Nymphenburg,48.15764,11.51415,Entire home/apt,350.0,2,13,1,0,0,High price,Short term,Private host
400,Ludwigsvorstadt-Isarvorstadt,48.13009,11.57211,Entire home/apt,101.0,1,246,1,205,36,Middle price,Long term,Private host
401,Laim,48.13725,11.49356,Entire home/apt,65.0,28,75,1,82,0,Low price,Short term,Private host
402,Ludwigsvorstadt-Isarvorstadt,48.1335,11.58079,Entire home/apt,141.0,2,335,5,156,34,Middle price,Medium term,Commercial host
403,Pasing-Obermenzing,48.14323,11.47063,Entire home/apt,41.0,5,31,2,130,10,Low price,Medium term,Commercial host
404,Sendling,48.11605,11.54246,Entire home/apt,100.0,5,3,1,0,0,Middle price,Short term,Private host
405,Milbertshofen-Am Hart,48.18784,11.57485,Shared room,189.0,1,0,1,365,0,Middle price,Long term,Private host
406,Schwabing-Freimann,48.16938,11.58433,Entire home/apt,550.0,2,28,1,352,3,High price,Long term,Private host
407,Neuhausen-Nymphenburg,48.15451,11.53947,Private room,194.0,100,15,1,364,0,Middle price,Long term,Private host
408,Ramersdorf-Perlach,48.11587,11.61201,Private room,160.0,2,1,1,365,0,Middle price,Long term,Private host
409,Laim,48.14095,11.51005,Entire home/apt,60.0,2,25,1,110,10,Low price,Medium term,Private host
410,Untergiesing-Harlaching,48.10803,11.57433,Private room,78.0,2,24,1,365,0,Low price,Long term,Private host
411,Untergiesing-Harlaching,48.11556,11.57423,Private room,90.0,1,1,1,364,0,Middle price,Long term,Private host
